City,Weight,Latitude,Longitude
Castres,6,49.8044444,3.2383333
Cauterets,6,42.8893451,-0.114546
Cauterets-Cambasque,1,42.8848837,-0.1375782
Cazères-sur-Garonne,1,43.2056788,1.0865093
Céret,1,42.485804,2.7488069
Cergy-Pontoise,2,49.0527528,2.0388736
Cérilly,1,47.8663369,4.4955761
Cesenatico,1,44.1999283,12.3969692
Chablis,1,47.8152073,3.8001657
Challans,3,46.847943,-1.8773787
Chalons-sur-Marne,4,48.9566218,4.3628851
Chalon-sur-Saône,6,46.7831001,4.8534326
Chambéry,3,45.5662672,5.9203636
Chambord,1,48.8899454,0.6095948
Chamonix,12,45.9246705,6.8727506
Champagnole,4,46.7456049,5.9083581
Champs-Elysées,1,48.8707573,2.3053312
Chamrousse,2,45.1108068,5.8748399
Changé,1,47.9875095,0.2839276
Chantilly,1,49.1931736,2.4636686
Chantonnay,1,46.6868121,-1.0505509
Charleroi,13,50.4116233,4.444528
Charleville-Mézières,27,49.7735712,4.7206939
Chartres,3,48.4438601,1.4881434
Chassieu,1,45.7422756,4.9681796
Châteaubriant,2,47.7194057,-1.3757282
Chateaulin,6,48.1968026,-4.0916875
Chateauroux,3,46.8203785,1.6770956
Châteauroux,2,46.8203785,1.6770956
Château-Thierry,1,49.0457362,3.4027111
Châtel,1,46.2671987,6.8412678
Châtel Les Portes du Soleil,1,46.255234,6.8417474
Châtelaillon-Plage,1,46.0738633,-1.0903991
Châtel-Guyon,1,45.9205,3.06111
Châtellerault,1,46.8180047,0.545812
Châtillon-sur-Chalaronne,1,46.1194566,4.9566779
Chatou,1,48.8897044,2.1573695
Chaumeil,1,45.4555541,1.8808583
Chaumont,2,48.1111324,5.1395849
Chauvigny,1,46.5695048,0.6439464
Cherbourg-en-Cotentin,35,49.6425343,-1.6249565
Chinon,1,47.1667182,0.2402095
Cholet,9,47.0617293,-0.8801359
Chorges,1,44.5450837,6.2754561
Ciney,1,50.2964911,5.1008664
Clermont-Ferrand,14,45.7774551,3.0819427
Cluses,5,46.0603171,6.5804218
Coblence,1,50.3533278,7.5943951
Cognac,1,45.6931647,-0.3250175
Col d'Aubisque,1,42.9765752,-0.339792
Col de la Couillole,1,44.1002269,7.0229315
